Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2021-06-05;55.251,37;3907768267242;57.584,68;4981476748858;58.596,73;6043591414451;56.764,76;1135588821853;53.430,23;500953964829;58.312,41;3639705761969;58.806,31;138221016000
2021-06-06;55.251,37;3907768267242;57.584,68;4981476748858;58.596,73;6043591414451;56.764,76;1135588821853;53.430,23;500953964829;58.312,41;3639705761969;58.806,31;138221016000
2021-06-07;55.190,12;3899866265056;57.485,48;4972529068506;58.525,49;6040625444131;56.681,50;1134857278668;53.354,90;500669483775;58.263,71;3636883703187;58.703,44;135781831498
2021-06-08;55.145,25;3894641560434;57.421,20;4968532981122;58.470,68;6040214977582;56.617,23;1134210417016;53.287,67;500404305912;58.219,10;3635371445095;58.623,90;133975254393
2021-06-09;55.244,43;3905835636824;57.535,85;4982751583891;58.570,38;6050392999311;56.723,21;1137937762987;53.387,05;500307572173;58.327,73;3641322500650;58.758,53;133165440574
2021-06-10;55.351,27;3918322190033;57.649,86;5004604290512;58.674,10;6075520217219;56.835,07;1142090000121;53.496,11;502540652789;58.420,48;3651671982131;58.892,12;132452233071
2021-06-11;55.630,83;3947130353804;57.932,40;5040504790663;58.978,32;6110821847020;57.116,57;1151301052633;53.759,45;505597083032;58.711,33;3668919442964;59.185,00;133174004661
2021-06-12;55.630,83;3947130353804;57.932,40;5040504790663;58.978,32;6110821847020;57.116,57;1151301052633;53.759,45;505597083032;58.711,33;3668919442964;59.185,00;133174004661
2021-06-13;55.630,83;3947130353804;57.932,40;5040504790663;58.978,32;6110821847020;57.116,57;1151301052633;53.759,45;505597083032;58.711,33;3668919442964;59.185,00;133174004661
2021-06-14;55.617,06;3953231085262;57.940,42;5053117132771;58.974,10;6118394037014;57.127,34;1154140761458;53.779,32;506937694222;58.715,78;3675753849271;59.160,37;139923166460
2021-06-15;55.661,29;3969233826476;58.005,56;5062338286504;59.041,50;6141561834630;57.195,11;1155754142502;53.836,88;512135116558;58.778,19;3690922028139;59.233,47;145925519897
2021-06-16;55.786,01;3983952810252;58.137,90;5081439619330;59.177,51;6163488742713;57.322,89;1159891528117;53.960,54;514894098954;58.917,67;3704181771145;59.371,74;153238426431
2021-06-17;55.678,84;3985507553217;58.032,46;5079789046151;59.061,84;6161942323273;57.219,32;1159806183197;53.861,47;513947752067;58.822,27;3702132700216;59.284,98;159725873051
2021-06-18;55.962,96;4021449478046;58.309,91;5112383928304;59.340,97;6208285944308;57.484,12;1167228190903;54.103,63;517815732825;59.138,21;3725384172582;59.574,44;167954612687
2021-06-19;55.962,96;4021449478046;58.309,91;5112383928304;59.340,97;6208285944308;57.484,12;1167228190903;54.103,63;517815732825;59.138,21;3725384172582;59.574,44;167954612687
2021-06-20;55.962,96;4021449478046;58.309,91;5112383928304;59.340,97;6208285944308;57.484,12;1167228190903;54.103,63;517815732825;59.138,21;3725384172582;59.574,44;167954612687
2021-06-21;55.962,96;4021449478046;58.309,91;5112383928304;59.340,97;6208285944308;57.484,12;1167228190903;54.103,63;517815732825;59.138,21;3725384172582;59.574,44;167954612687
2021-06-22;56.388,12;4064019015434;58.759,10;5159334916398;59.782,11;6262188171285;57.937,39;1178239267816;54.506,00;522186296548;59.575,52;3758102955877;60.083,28;177030103011
2021-06-23;56.760,17;4092811897251;59.138,48;5194999136254;60.154,50;6302836463016;58.309,58;1186597973214;54.867,18;525827561160;59.953,80;3785191953301;60.471,78;186166325053
2021-06-24;56.093,17;4048960172262;58.430,70;5137498344230;59.443,55;6231986446077;57.614,30;1172890428910;54.205,25;519814128036;59.228,18;3744841286965;59.747,10;192244437812
2021-06-25;56.303,87;4061999669864;58.662,20;5155670578976;59.667,95;6255242137971;57.834,88;1176396723077;54.434,75;521911593209;59.425,34;3753618299306;59.980,77;201463200105
2021-06-26;56.303,87;4061999669864;58.662,20;5155670578976;59.667,95;6255242137971;57.834,88;1176396723077;54.434,75;521911593209;59.425,34;3753618299306;59.980,77;201463200105
2021-06-27;56.303,87;4061999669864;58.662,20;5155670578976;59.667,95;6255242137971;57.834,88;1176396723077;54.434,75;521911593209;59.425,34;3753618299306;59.980,77;201463200105
2021-06-28;56.303,87;4061999669864;58.662,20;5155670578976;59.667,95;6255242137971;57.834,88;1176396723077;54.434,75;521911593209;59.425,34;3753618299306;59.980,77;201463200105
2021-06-29;56.389,63;4072074681776;58.736,07;5169263585127;59.767,64;6275826035294;57.911,64;1177760297042;54.493,61;523048641475;59.498,64;3760077402692;60.061,34;208965676658
2021-06-30;56.393,93;4064996459871;58.746,55;5160942144225;59.778,52;6263600052421;57.923,34;1177728863577;54.501,07;522576582408;59.493,75;3750984279317;60.102,48;218502991155
2021-07-01;55.893,00;4068521292247;58.201,18;5124723639069;59.220,89;6225915015395;57.395,92;1167215616376;53.996,57;520798329745;58.952,82;3725697417774;59.537,89;194897118635
2021-07-02;56.317,56;4106695877831;58.655,73;5161324863367;59.729,90;6288811586753;57.862,02;1178372592684;54.461,46;525530621614;59.401,22;3754723112252;60.009,02;198022365500
2021-07-03;56.317,56;4106695877831;58.655,73;5161324863367;59.729,90;6288811586753;57.862,02;1178372592684;54.461,46;525530621614;59.401,22;3754723112252;60.009,02;198022365500
2021-07-04;56.317,56;4106695877831;58.655,73;5161324863367;59.729,90;6288811586753;57.862,02;1178372592684;54.461,46;525530621614;59.401,22;3754723112252;60.009,02;198022365500
2021-07-05;56.165,48;4118146002243;58.493,42;5166242108431;59.560,05;6291507455464;57.695,92;1178955429421;54.323,69;525422409361;59.274,04;3766915078992;59.832,47;198099351136
2021-07-06;56.030,52;4117090852726;58.344,52;5159934796980;59.422,13;6290106868661;57.540,96;1177503829305;54.193,66;525080390954;59.121,51;3760534678599;59.680,56;198612419880
2021-07-07;56.224,30;4135866435999;58.517,98;5175384532400;59.624,92;6318710653355;57.714,98;1182782018677;54.362,08;526857008670;59.340,29;3777467790080;59.864,06;200370874223
2021-07-08;56.610,10;4155843648543;58.923,07;5214878126768;60.075,54;6373654234952;58.121,94;1192016309781;54.750,43;531227511452;59.741,35;3805268410551;60.310,15;200997025735
2021-07-09;56.223,00;4137340634007;58.534,45;5186414802242;59.663,11;6343496940859;57.717,30;1185206297306;54.375,68;528026435323;59.363,19;3784756674075;59.941,53;200100486745
2021-07-10;56.223,00;4137340634007;58.534,45;5186414802242;59.663,11;6343496940859;57.717,30;1185206297306;54.375,68;528026435323;59.363,19;3784756674075;59.941,53;200100486745
2021-07-11;56.223,00;4137340634007;58.534,45;5186414802242;59.663,11;6343496940859;57.717,30;1185206297306;54.375,68;528026435323;59.363,19;3784756674075;59.941,53;200100486745
2021-07-12;56.475,32;4164284374734;58.815,35;5222517619841;59.909,04;6382901487240;57.997,56;1193617008193;54.642,71;531418148471;59.629,09;3807082114463;60.251,51;201408024941
2021-07-13;56.483,72;4172646952914;58.826,21;5233000576159;59.925,74;6398031736906;58.016,24;1196061078837;54.626,71;532373093650;59.631,60;3805012828699;60.217,56;201790931704
2021-07-14;56.474,65;4176791000745;58.819,74;5247064336382;59.923,88;6400433153971;57.990,48;1198171065535;54.626,18;533846329108;59.596,48;3806929184201;60.186,49;202294396476
2021-07-15;56.643,77;4210679355909;58.994,28;5272756429748;60.096,46;6439560771983;58.153,56;1201638122466;54.785,21;539314325279;59.784,47;3826043073693;60.386,53;178467940781
2021-07-16;56.643,77;4210679355909;58.994,28;5272756429748;60.096,46;6439560771983;58.153,56;1201638122466;54.785,21;539314325279;59.784,47;3826043073693;60.386,53;178467940781
2021-07-17;56.643,77;4210679355909;58.994,28;5272756429748;60.096,46;6439560771983;58.153,56;1201638122466;54.785,21;539314325279;59.784,47;3826043073693;60.386,53;178467940781
2021-07-18;56.643,77;4210679355909;58.994,28;5272756429748;60.096,46;6439560771983;58.153,56;1201638122466;54.785,21;539314325279;59.784,47;3826043073693;60.386,53;178467940781
2021-07-19;56.535,48;4213537609043;58.850,85;5270625323698;59.973,48;6445107229792;58.011,92;1200184924336;54.650,94;538776323076;59.663,88;3822466356565;60.252,84;178156243522
2021-07-20;56.379,89;4211202412738;58.669,44;5260283926611;59.775,75;6429719806677;57.802,73;1197210481247;54.499,04;537752207778;59.554,98;3819004863997;60.104,26;178086877255
2021-07-21;56.595,00;4237422606876;58.906,98;5292701413837;60.003,36;6466286111804;58.049,98;1204017197979;54.721,90;540238439817;59.775,02;3838046363266;60.391,35;179260849335
2021-07-22;56.734,97;4251618938661;59.079,09;5313092173239;60.184,56;6492028592426;58.219,80;1207974913798;54.883,81;542173498700;59.928,64;3850645825091;60.530,81;179652279209
2021-07-23;56.531,97;4234139887542;58.867,92;5300163186545;59.999,83;6468253635940;58.005,53;1204646553216;54.671,11;540612465765;59.729,71;3838443414335;60.273,92;178749660019
2021-07-24;56.531,97;4234139887542;58.867,92;5300163186545;59.999,83;6468253635940;58.005,53;1204646553216;54.671,11;540612465765;59.729,71;3838443414335;60.273,92;178749660019
2021-07-25;56.531,97;4234139887542;58.867,92;5300163186545;59.999,83;6468253635940;58.005,53;1204646553216;54.671,11;540612465765;59.729,71;3838443414335;60.273,92;178749660019
2021-07-26;56.640,60;4242408883640;59.012,00;5313314920483;60.156,29;6487128383835;58.142,19;1207676568608;54.796,17;542073693555;59.880,29;3848139995485;60.372,50;178909531239
2021-07-27;56.498,27;4240580875874;58.910,82;5308491320647;60.041,77;6478854963978;58.042,84;1207707586524;54.707,94;541797364779;59.770,14;3847721371841;60.228,19;178992252777
2021-07-28;55.980,92;4205403245650;58.379,58;5266656310918;59.467,39;6411321513677;57.502,12;1198021002270;54.214,86;536604179064;59.241,63;3817370029660;59.662,82;177410213242
2021-07-29;56.722,77;4269381707740;59.140,68;5341664104083;60.270,89;6510050310898;58.247,51;1215504435983;54.920,69;544645799497;59.998,33;3870644471507;60.485,39;180617919660
2021-07-30;56.661,72;4270157999241;59.102,27;5339952899600;60.193,82;6511926246049;58.198,66;1218966510218;54.846,78;545482386794;59.917,00;3863728689076;60.370,77;181134788450
2021-07-31;56.661,72;4270157999241;59.102,27;5339952899600;60.193,82;6511926246049;58.198,66;1218966510218;54.846,78;545482386794;59.917,00;3863728689076;60.370,77;181134788450
2021-08-01;56.661,72;4270157999241;59.102,27;5339952899600;60.193,82;6511926246049;58.198,66;1218966510218;54.846,78;545482386794;59.917,00;3863728689076;60.370,77;181134788450
2021-08-02;56.587,35;4283795414058;59.024,12;5349683210052;60.098,59;6520133962500;58.095,77;1217032218314;54.757,79;547945891609;59.853,39;3866968078463;60.330,14;168998082938
2021-08-03;56.861,64;4314337025735;59.291,45;5381687439495;60.394,30;6569713398645;58.355,22;1226107580610;54.991,50;551546171889;60.116,81;3888400974630;60.615,74;170501109343
2021-08-04;57.775,35;4393350710703;60.252,65;5475639398045;61.352,85;6683014865769;59.287,70;1247605272875;55.890,86;561252982910;61.054,05;3956125636210;61.592,35;173645476762
2021-08-05;57.775,58;4406753409253;60.278,07;5489985800412;61.395,06;6690035374901;59.252,45;1248958905175;55.897,97;561508680852;61.043,11;3965256178741;61.592,45;173184556263
2021-08-06;57.969,40;4432763697969;60.477,31;5515645200676;61.587,99;6729011748492;59.440,27;1256790809359;56.076,97;564531318494;61.243,14;3981503708189;61.782,64;174212687978
2021-08-07;57.969,40;4432763697969;60.477,31;5515645200676;61.587,99;6729011748492;59.440,27;1256790809359;56.076,97;564531318494;61.243,14;3981503708189;61.782,64;174212687978
2021-08-08;57.969,40;4432763697969;60.477,31;5515645200676;61.587,99;6729011748492;59.440,27;1256790809359;56.076,97;564531318494;61.243,14;3981503708189;61.782,64;174212687978
2021-08-09;58.426,07;4472120525832;60.959,30;5557870323880;62.065,41;6791799314904;59.925,01;1268444726106;56.528,60;569764079363;61.702,93;4015253387282;62.266,64;175915088432
2021-08-10;58.600,94;4489366652934;61.144,61;5592969928993;62.262,35;6826814992528;60.085,62;1275724885261;56.694,75;572612829132;61.880,66;4032416764469;62.453,72;177412218943
2021-08-11;58.350,38;4481534588316;60.883,72;5583636864722;62.005,59;6814625282424;59.857,06;1275432293538;56.447,90;570966158982;61.608,03;4015968539692;62.168,03;177193166438
2021-08-12;58.034,87;4470074429404;60.585,69;5566368193994;61.673,07;6790963777562;59.564,69;1272300163344;56.176,35;569980467408;61.286,08;3998106378302;61.849,12;177100937430
2021-08-13;57.901,71;4479544507013;60.459,15;5573203238043;61.551,34;6803819183177;59.424,20;1274076626339;56.066,91;571116376473;61.175,33;3998597243820;61.718,07;177923145357
2021-08-14;57.901,71;4479544507013;60.459,15;5573203238043;61.551,34;6803819183177;59.424,20;1274076626339;56.066,91;571116376473;61.175,33;3998597243820;61.718,07;177923145357
2021-08-15;57.901,71;4479544507013;60.459,15;5573203238043;61.551,34;6803819183177;59.424,20;1274076626339;56.066,91;571116376473;61.175,33;3998597243820;61.718,07;177923145357
2021-08-16;58.064,86;4515626531495;60.641,80;5604223543548;61.727,99;6847622908005;59.592,85;1279069100783;56.229,30;576142994247;61.362,32;4023834511085;61.894,86;173341267900
2021-08-17;58.274,42;4545132782123;60.867,59;5636614094777;62.000,69;6898332797702;59.789,19;1287424308325;56.443,77;580710286137;61.571,67;4045802830551;62.070,68;174650696332
2021-08-18;58.191,47;4551372478574;60.790,64;5646357841860;61.949,80;6903913671947;59.699,89;1287944740484;56.393,59;580719212666;61.500,14;4046167448112;62.041,69;174958612232
2021-08-19;57.958,95;4540180775402;60.537,83;5627667507625;61.715,62;6885590978545;59.429,65;1282625581174;56.163,74;578678463187;61.273,79;4033268095217;61.789,66;174215938117
2021-08-20;57.543,64;4520941109776;60.103,28;5596273234080;61.274,64;6847591530270;59.000,93;1277239519047;55.777,29;575823875601;60.850,08;4008161532875;61.379,51;173892120901
2021-08-21;57.543,64;4520941109776;60.103,28;5596273234080;61.274,64;6847591530270;59.000,93;1277239519047;55.777,29;575823875601;60.850,08;4008161532875;61.379,51;173892120901
2021-08-22;57.543,64;4520941109776;60.103,28;5596273234080;61.274,64;6847591530270;59.000,93;1277239519047;55.777,29;575823875601;60.850,08;4008161532875;61.379,51;173892120901
2021-08-23;57.488,65;4496776789036;60.054,04;5578145817444;61.243,69;6809239800211;58.982,80;1271166721413;55.739,40;575011748164;60.792,74;3994362582852;61.397,95;173035192299
2021-08-24;57.881,67;4506872549030;60.466,51;5615434789665;61.663,32;6848473408744;59.383,17;1278318310590;56.104,25;578736440094;61.183,76;4020948387784;61.768,35;174198140801
2021-08-25;58.220,67;4532113504049;60.791,49;5649218135995;62.001,00;6886166420372;59.717,68;1285936028920;56.405,16;581937468220;61.510,32;4046958650852;62.076,64;174849489383
2021-08-26;58.330,69;4538864174579;60.938,75;5666443809320;62.159,96;6901641058592;59.853,65;1288872351484;56.538,25;583370461442;61.648,07;4059461891189;62.177,01;174372815294
2021-08-27;58.262,49;4537081422715;60.876,51;5664446426936;62.129,54;6904315371780;59.770,91;1288805304750;56.491,49;583429871195;61.604,49;4057368102715;62.152,11;174317769676
2021-08-28;58.262,49;4537081422715;60.876,51;5664446426936;62.129,54;6904315371780;59.770,91;1288805304750;56.491,49;583429871195;61.604,49;4057368102715;62.152,11;174317769676
2021-08-29;58.262,49;4537081422715;60.876,51;5664446426936;62.129,54;6904315371780;59.770,91;1288805304750;56.491,49;583429871195;61.604,49;4057368102715;62.152,11;174317769676
2021-08-30;58.551,13;4567718820537;61.171,22;5704480060706;62.430,49;6963155869719;60.104,25;1300179646376;56.770,60;587522472944;61.919,77;4084244164574;62.464,19;175278012535
2021-08-31;58.469,64;4558470237836;61.069,35;5689176526174;62.378,09;6959129328817;60.013,87;1297943145590;56.685,05;585610185679;61.835,73;4073805089079;62.356,62;175085531263

Valores Provisorios - Sujetos a Confirmacion

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2021-09-01;58.364,04;4563711567957;60.946,65;5691402229941;62.233,12;6955439130654;59.874,87;1293906378123;56.538,81;587007681413;61.717,87;4072157341029;62.190,30;170390420639
2021-09-02;57.997,23;4540128193689;60.535,39;5656397991262;61.818,58;6914807411293;59.489,68;1287125250463;56.166,03;583813799075;61.269,14;4042890821991;61.828,69;169822573619
2021-09-03;58.070,16;4562874781216;60.648,20;5679657738919;61.929,69;6946893174749;59.595,80;1293121518791;56.255,27;585713810820;61.341,58;4049327555717;61.934,08;170888303969
2021-09-04;58.070,16;4562874781216;60.648,20;5679657738919;61.929,69;6946893174749;59.595,80;1293121518791;56.255,27;585713810820;61.341,58;4049327555717;61.934,08;170888303969
2021-09-05;58.070,16;4562874781216;60.648,20;5679657738919;61.929,69;6946893174749;59.595,80;1293121518791;56.255,27;585713810820;61.341,58;4049327555717;61.934,08;170888303969
2021-09-06;58.031,96;4567900382549;60.592,76;5682431333882;61.883,40;6954953429515;59.549,64;1296912594389;56.198,57;585854402216;61.287,59;4051572760992;61.856,29;171057909440
2021-09-07;58.517,56;4613860381437;61.100,83;5738748389634;62.363,71;7022493943878;60.045,89;1310575719058;56.659,29;591853769557;61.767,48;4087146153034;62.403,74;172698979389
2021-09-08;58.876,43;4667608400543;61.459,85;5790311202550;62.761,16;7079257851880;60.361,97;1322249681393;56.993,17;596810380742;62.111,99;4129944594714;62.758,88;174166125845
2021-09-09;59.017,38;4721208101476;61.613,45;5831932851764;62.911,86;7142633805288;60.487,74;1332188079646;57.135,22;600123332192;62.235,29;4153609421901;62.901,88;175462066943
2021-09-10;59.082,06;4744231942912;61.688,40;5857709019094;62.986,99;7180291232959;60.570,58;1341007750733;57.209,13;602499457766;62.282,88;4165974325970;63.001,63;176618650604
2021-09-11;59.082,06;4744231942912;61.688,40;5857709019094;62.986,99;7180291232959;60.570,58;1341007750733;57.209,13;602499457766;62.282,88;4165974325970;63.001,63;176618650604
2021-09-12;59.082,06;4744231942912;61.688,40;5857709019094;62.986,99;7180291232959;60.570,58;1341007750733;57.209,13;602499457766;62.282,88;4165974325970;63.001,63;176618650604
2021-09-13;59.228,75;4758381402426;61.830,67;5881891635605;63.149,32;7215486333479;60.690,47;1347772657427;57.330,78;604879605073;62.445,66;4183172041535;63.122,97;177207883189
2021-09-14;58.821,96;4728806414992;61.404,99;5850601374007;62.684,87;7177375665861;60.301,31;1343479033746;56.949,77;602550319533;62.031,09;4154731286066;62.692,19;176920788785
2021-09-15;58.574,02;4726038543024;61.138,75;5842322390464;62.444,06;7168141276007;60.020,65;1335610083760;56.727,64;604807127575;61.788,13;4146747974288;62.420,56;172521318459
2021-09-16;58.512,41;4725463222909;61.065,09;5837078604582;62.368,21;7163896807434;59.976,92;1335173674736;56.673,85;604979959399;61.714,04;4141950470763;62.324,53;172701481706
2021-09-17;58.512,41;4725463222909;61.065,09;5837078604582;62.368,21;7163896807434;59.976,92;1335173674736;56.673,85;604979959399;61.714,04;4141950470763;62.324,53;172701481706
2021-09-18;58.512,41;4725463222909;61.065,09;5837078604582;62.368,21;7163896807434;59.976,92;1335173674736;56.673,85;604979959399;61.714,04;4141950470763;62.324,53;172701481706
2021-09-19;58.512,41;4725463222909;61.065,09;5837078604582;62.368,21;7163896807434;59.976,92;1335173674736;56.673,85;604979959399;61.714,04;4141950470763;62.324,53;172701481706
2021-09-20;58.073,35;4696149275398;60.601,25;5797483387903;61.892,62;7119125693952;59.490,84;1325787067413;56.247,78;601188762413;61.240,52;4114523114441;61.840,48;171624834544
2021-09-21;57.611,87;4665662270762;60.111,74;5752921508492;61.415,14;7072082253864;58.996,76;1315609425380;55.799,19;596832797530;60.765,04;4084863324564;61.346,31;170514290333
2021-09-22;57.515,87;4661389481137;60.019,64;5747978031207;61.328,10;7067568918347;58.911,94;1314868901318;55.684,78;595830930322;60.676,60;4081610762607;61.242,55;170277037054
2021-09-23;57.806,06;4683974541400;60.360,59;5780478105993;61.629,15;7100379735454;59.249,51;1322150618520;55.989,25;599011001239;60.986,33;4102801852253;61.572,59;170734492021
2021-09-24;58.336,16;4669177029033;60.949,03;5789152770242;62.218,17;7059687243964;59.834,26;1323966119212;56.543,59;601677047314;61.558,01;4127813951913;62.172,09;168508061225
2021-09-25;58.336,16;4669177029033;60.949,03;5789152770242;62.218,17;7059687243964;59.834,26;1323966119212;56.543,59;601677047314;61.558,01;4127813951913;62.172,09;168508061225
2021-09-26;58.336,16;4669177029033;60.949,03;5789152770242;62.218,17;7059687243964;59.834,26;1323966119212;56.543,59;601677047314;61.558,01;4127813951913;62.172,09;168508061225
2021-09-27;58.258,51;4625753845128;60.848,56;5760317812960;62.113,72;7004108990667;59.739,08;1316242672668;56.462,52;599084879878;61.442,85;4110168028089;62.059,73;166758660319
2021-09-28;58.647,29;4647338094652;61.256,44;5792004156900;62.468,92;7036332461182;60.147,16;1323739874465;56.839,63;602736235884;61.833,84;4135632275335;62.486,25;167078806889
2021-09-29;58.119,56;4587889163285;60.673,38;5728026804522;61.854,02;6958350008274;59.554,02;1310159208385;56.320,42;596691321931;61.249,43;4094580791659;61.880,20;164853889050
2021-09-30;58.221,11;4565798795291;60.813,84;5720118900338;61.975,02;6948355175180;59.705,57;1310641335966;56.455,51;596855893140;61.359,45;4079010571907;62.034,84;164344409802
