Fecha,FONDO A,FONDO B,FONDO C,FONDO D,FONDO E
28-09-2018,0.002147250540307004,0.0015185755152118546,0.0006064705018554033,-0.0004937066971164019,-0.0005565299266876773
01-10-2018,0.003565722760852368,0.002445438194591266,0.001144833262868383,-0.00010096274740438883,-0.0009918647366646883
02-10-2018,0.004509614096984385,0.0034341228336779964,0.0019325607234079775,0.00031385391965650823,-0.0007743019804826751
03-10-2018,-0.0010480709630777641,-0.0010371057273419581,-0.001380165559127001,-0.001703467067796053,-0.0008463080242670138
04-10-2018,-0.0021001452998164823,-0.0017088226513450812,-0.001278965490745508,-0.0010294775476763034,-0.00019112204264065338
05-10-2018,-0.0013337219056156876,-0.0005481745106546001,-0.0002936894942962083,0.0006577421458072218,0.001238626103962824
08-10-2018,0.003288686333195436,0.0029325569733186364,0.0023310134329171,0.0013903819237494075,0.0009516007416351656
09-10-2018,-0.007720655845295059,-0.005449921208045375,-0.004322719251192701,-0.0032655696552616213,-0.0005405968515310562
10-10-2018,-0.0001007842684585872,-0.0001922059037790978,0.00019022854239377686,0.0004014842474568035,0.0004437589637168877
11-10-2018,0.010465278319288849,0.0076864052097474975,0.00475220442561293,0.0036415374108505804,0.0020991732998468485
12-10-2018,0.015912260871505927,0.012792408966299218,0.009748138762933761,0.006025610140076122,0.0034217864796244487
15-10-2018,0.0,0.0,0.0,0.0,0.0
16-10-2018,-0.0005112783371910777,-0.001276848158023762,-0.00016579518546303612,0.0004715904093347341,0.000219920376043206
17-10-2018,0.00011334678212072605,0.00080173581592774,0.0013813648572240538,0.0006930619916914932,0.0009210535657039513
18-10-2018,-0.0009718352036677234,-0.00034149284652811496,-0.0006721500770194783,-0.0003161476656185215,0.0009220583021396229
19-10-2018,0.00511868165340921,0.003723063880962518,0.0017477627534636454,0.0008077355123323946,-0.00037044980980484483
22-10-2018,-0.0011045061209148733,-0.0010281443395638967,-0.001021244378836511,-0.0013144645774166835,-0.0014487412477246458
23-10-2018,-0.006168181014434697,-0.005031110828141999,-0.004140056890108316,-0.0024855641296738008,-0.0008597024983971788
24-10-2018,0.005556585071997006,0.0037192874811208107,0.0017435172864248096,-9.364140926395278e-06,-0.0012925869914269224
25-10-2018,0.006015533886220836,0.0036955296580936593,0.0013795087460788365,0.0010583799570139652,0.00021066424653797837
26-10-2018,6.47887517949846e-05,0.00021873143549187043,0.0013448906900121013,0.0004358249462370288,-7.580703686713767e-05
29-10-2018,0.0025922392411257622,0.0015500766315504166,0.0001893820717481555,-0.0005308535292255003,-0.0003385036281193519
30-10-2018,0.005187329270132108,0.004302231520857342,0.0031292631818822737,0.002244956749124598,0.0010521544552092312
31-10-2018,-0.0034871687724411684,-0.002019777599877566,-5.257546771464151e-05,-0.0003008926883591666,0.00048613858203185864
01-11-2018,0.0,0.0,0.0,0.0,0.0
02-11-2018,0.0,0.0,0.0,0.0,0.0
05-11-2018,-0.032355855988767994,-0.025045338830082316,-0.017811734448929195,-0.009365182680778256,-0.0027315959085953403
06-11-2018,0.011496418102885441,0.007588758420617013,0.004208204806791318,0.0009147592702778568,-0.0020217225632467085
07-11-2018,0.0024603003717233586,0.0016675674018115706,0.000749685722639941,-0.0001130260972680813,-0.0006689352860011881
08-11-2018,-0.0029343215250911122,-0.0019941890030225097,-0.0005322534994021597,-0.00022729790088086595,-7.99581624744128e-05
09-11-2018,0.003531401427430512,0.002034651068958593,0.0012813211825261142,0.0010344944241377418,0.00019357766785465917
12-11-2018,0.004608255777938862,0.004086944641103505,0.0029715045449012194,0.001638880679680235,0.0008520944825238983
13-11-2018,0.003647407169104988,0.002849420595990844,0.001428400150606656,0.0006004585880901471,-0.0001237586189375495
14-11-2018,-0.0020344915868193347,-0.001212303220963405,-0.00020576272705854118,0.0007368189248945019,0.0005000727187675952
15-11-2018,0.002357049112374248,0.00159192829926654,0.0008763002087763075,0.00028269335067539577,0.00010805226679531124
16-11-2018,0.0020263269876909435,0.001664337371496094,0.0011949817996482967,0.0006998243952208281,-9.259486129878697e-05
19-11-2018,0.0031460413228749976,0.0018092975157171258,0.0009947741835988851,3.548801505582686e-05,-0.0009001501475970253
20-11-2018,0.004171314536871167,0.0029605646060635224,0.001211756965629161,0.0006176931520153981,0.00026118567167426134
21-11-2018,0.01278605189223057,0.008748267354173299,0.00537233155347783,0.002112849803583422,-0.0006229641712933446
22-11-2018,-0.00023156565715055376,-0.00019995423336393364,0.00017703066420823114,2.749840388115551e-05,-0.00022243728529603793
23-11-2018,0.00046191216931666033,0.0005516374132264821,0.00024425001531594036,0.00013944472228351762,0.0004952645065292373
26-11-2018,-0.0031086357785718387,-0.0024550315407811905,-0.0018769038731897814,-0.0007342120488310614,-8.168613150839558e-05
27-11-2018,-0.006574726128731143,-0.004252808780344457,-0.002022497567615552,-0.00021498649951427854,0.00012168234191139892
28-11-2018,-0.0007026156845325043,-0.0005093334215995625,-0.0007857398238376044,-0.0012686103700297073,-0.0009981914687543737
29-11-2018,-0.0040593423883144185,-0.002267053598658214,-0.0011508001249131373,-0.0007587169302720021,-0.00016120389883005442
30-11-2018,-0.0009494759661530793,-0.0012250659791854662,-0.0017215420573840573,-0.0015562941171166022,-0.0012404773921032737
03-12-2018,-0.0011323735757619703,-0.0011228043207687569,-0.0008341971673068678,-0.0010938866738778872,-0.0007664550859029827
04-12-2018,-0.006940273008236418,-0.0051959251215268065,-0.0038115456140134173,-0.002119979504207092,-0.0013683633350878332
05-12-2018,0.006052557448367885,0.0032634365165625664,0.0011479657091945047,0.0004961659640419952,0.0004596043040144499
